Area Code,Year,Item Code,Production,Import Quantity,Stock Variation,Domestic supply quantity,Processing,Residuals,Food,Food supply quantity (kg/capita/yr),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day),Export Quantity,Losses,Feed,Seed,Other uses (non-food),Tourist consumption
2,2018,2645,18.0,1.0,0.0,10.0,0.0,0.0,10.0,0.26,2.0,0.11,0.11,10.0,0.0,0.0,0.0,0.0,0.0
2,2018,2655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2680,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0.06,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2899,0.0,20.0,-5.0,25.0,0.0,0.0,25.0,0.66,1.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2731,39.0,0.0,0.0,39.0,0.0,0.0,39.0,13.38,60.0,5.57,4.07,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2732,31.0,0.0,0.0,31.0,0.0,0.0,31.0,10.9,57.0,4.13,4.36,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2733,10.0,5.0,0.0,15.0,0.0,0.0,15.0,5.35,49.0,1.57,4.65,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2734,16.0,12.0,0.0,27.0,0.0,0.0,27.0,9.48,50.0,3.52,3.83,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2736,15.0,0.0,0.0,16.0,0.0,0.0,14.0,4.99,15.0,2.19,0.63,0.0,1.0,0.0,0.0,0.0,0.0
3,2018,2740,5.0,0.0,0.0,5.0,0.0,0.0,5.0,1.68,33.0,0.04,3.73,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2737,4.0,0.0,0.0,4.0,0.0,0.0,4.0,1.36,31.0,0.08,3.38,0.0,0.0,0.0,0.0,0.0,0.0
